File Name,Pet Name,Rarity,Drop Percentage,Power Percentage,Expression,,,,Common Weights,Uncommon Weights,Rare Weights,Epic Weights,Legendary Weights,Mythic Weights
Diamond_1,Prism,Rare,100,8,Angry,,,,150,2,8,11,17,25
Diamond_2,Spark,Uncommon,200,2,Confused,,,,150,2,8,11,17,25
Diamond_3,Glimmer,Epic,50,11,Puppy_Eyes,,,,150,2,8,11,17,25
Earth_1,Terra,Common,150,5,Unibrow,,,,150,2,8,11,17,25
Earth_2,Boulder,Rare,100,8,Gemstone,,,,150,2,8,11,17,25
Earth_3,Flint,Mythic,5,25,Mustage,,,,150,2,8,11,17,25
Fire_1,Blaze,Epic,50,11,Cry,,,,150,2,8,11,17,25
Fire_2,Ember,Legendary,30,17,Lightning,,,,150,2,8,11,17,25
Fire_3,Scorch,Mythic,5,25,Angry,,,,150,2,8,11,17,25
Galaxy_1,Nebula,Common,150,5,Gemstone,,,,150,2,8,11,17,25
Galaxy_2,Orion,Rare,100,8,Serious,,,,150,2,8,11,17,
Galaxy_3,Astra,Mythic,5,25,Anime,,,,150,2,8,11,17,
Gemstone_1,Ruby,Uncommon,200,2,Mustage,,,,150,2,8,11,17,
Gemstone_2,Sapphire,Rare,100,8,Smile,,,,150,2,8,11,17,
Gemstone_3,Topaz,Legendary,30,17,Cry,,,,150,2,8,11,17,
Gold_1,Goldy,Epic,50,11,Anime,,,,150,2,8,11,17,
Gold_2,Sol,Mythic,5,25,Angry,,,,,2,8,11,17,
Gold_3,Dazzle,Legendary,30,17,Confused,,,,,,8,11,,
Ice_1,Frosty,Uncommon,200,2,Angry,,,,,,8,11,,
Ice_2,Glacier,Common,150,5,Confused,,,,,,8,,,
Ice_3,Shiver,Epic,50,11,Cry,,,,,,,,,
Magma_1,Glowey,Rare,100,8,Frozen,,,,,,,,,
Magma_2,Volcan,Legendary,30,17,Gemstone,,,,,,,,,
Magma_3,Ember,Mythic,5,25,Lightning,,,,,,,,,
Plant_1,Ivy,Common,150,5,Mustage,,,,,,,,,
Plant_2,Moss,Uncommon,200,2,Puppy_Eyes,,,,,,,,,
Plant_3,Fern,Epic,50,11,Serious,,,,,,,,,
RGB_1,Pixel,Rare,100,8,Smile,,,,,,,,,
RGB_2,Neon,Epic,50,11,Smushed,,,,,,,,,
RGB_3,Rainbow,Mythic,5,25,Troll,,,,,,,,,
Water_1,Wave,Uncommon,200,2,Unibrow,,,,,,,,,
Water_2,Tide,Legendary,30,17,Angry,,,,,,,,,
Water_3,Ripple,Common,150,5,Anime,,,,,,,,,
Diamond_1,Brilliance,Common,150,5,Troll,,,,,,,,,
Diamond_2,Gleam,Rare,100,8,Smushed,,,,,,,,,
Diamond_3,Radiance,Legendary,30,17,Serious,,,,,,,,,
Earth_1,Quake,Uncommon,200,2,Puppy_Eyes,,,,,,,,,
